ano,faixa_idade,genero,estado,nivel_ensino,cargo_atual,faixa_salarial,tempo_experiencia_dados,linguagem_mais_usada,cor_raca_etnia
2021,35-39,Masculino,São Paulo (SP),Pós-graduação,,de R$ 12.001/mês a R$ 16.000/mês,Mais de 10 anos,,
2021,35-39,Masculino,São Paulo (SP),Pós-graduação,,de R$ 20.001/mês a R$ 25.000/mês,Mais de 10 anos,,
2021,22-24,Masculino,Minas Gerais (MG),Graduação/Bacharelado,,de R$ 6.001/mês a R$ 8.000/mês,de 2 a 3 anos,,
2021,35-39,Masculino,São Paulo (SP),Graduação/Bacharelado,,de R$ 20.001/mês a R$ 25.000/mês,Mais de 10 anos,,
2021,30-34,Masculino,São Paulo (SP),Pós-graduação,,de R$ 20.001/mês a R$ 25.000/mês,Mais de 10 anos,,
2021,25-29,Masculino,São Paulo (SP),Doutorado ou Phd,,de R$ 12.001/mês a R$ 16.000/mês,de 2 a 3 anos,,
2021,30-34,Masculino,São Paulo (SP),Doutorado ou Phd,,de R$ 16.001/mês a R$ 20.000/mês,Mais de 10 anos,,
2021,30-34,Masculino,Paraná (PR),Graduação/Bacharelado,,de R$ 12.001/mês a R$ 16.000/mês,de 4 a 5 anos,,
2021,35-39,Masculino,São Paulo (SP),Graduação/Bacharelado,,de R$ 8.001/mês a R$ 12.000/mês,de 4 a 5 anos,,
2021,35-39,Masculino,Minas Gerais (MG),Mestrado,,de R$ 16.001/mês a R$ 20.000/mês,Mais de 10 anos,,
2021,25-29,Masculino,Rio de Janeiro (RJ),Pós-graduação,,de R$ 12.001/mês a R$ 16.000/mês,de 4 a 5 anos,,
2021,25-29,Masculino,Santa Catarina (SC),Graduação/Bacharelado,,de R$ 12.001/mês a R$ 16.000/mês,de 1 a 2 anos,,
2021,25-29,Masculino,Minas Gerais (MG),Pós-graduação,,de R$ 16.001/mês a R$ 20.000/mês,de 2 a 3 anos,,
2021,50-54,Masculino,São Paulo (SP),Pós-graduação,,de R$ 20.001/mês a R$ 25.000/mês,Mais de 10 anos,,
2021,30-34,Masculino,São Paulo (SP),Graduação/Bacharelado,,de R$ 20.001/mês a R$ 25.000/mês,de 6 a 10 anos,,
2021,45-49,Masculino,São Paulo (SP),Pós-graduação,,de R$ 30.001/mês a R$ 40.000/mês,Mais de 10 anos,,
2021,35-39,Masculino,São Paulo (SP),Doutorado ou Phd,,de R$ 6.001/mês a R$ 8.000/mês,de 2 a 3 anos,,
2021,40-44,Masculino,Minas Gerais (MG),Não tenho graduação formal,,de R$ 4.001/mês a R$ 6.000/mês,Mais de 10 anos,,
2021,35-39,Masculino,São Paulo (SP),Mestrado,,de R$ 3.001/mês a R$ 4.000/mês,de 1 a 2 anos,,
2021,25-29,Feminino,Rio Grande do Sul (RS),Pós-graduação,,de R$ 6.001/mês a R$ 8.000/mês,de 2 a 3 anos,,
2021,40-44,Masculino,São Paulo (SP),Não tenho graduação formal,,de R$ 4.001/mês a R$ 6.000/mês,de 4 a 5 anos,,
2021,22-24,Masculino,Bahia (BA),Estudante de Graduação,,de R$ 3.001/mês a R$ 4.000/mês,de 1 a 2 anos,,
2021,25-29,Masculino,São Paulo (SP),Mestrado,,de R$ 8.001/mês a R$ 12.000/mês,de 2 a 3 anos,,
2021,30-34,Masculino,Santa Catarina (SC),Graduação/Bacharelado,,de R$ 6.001/mês a R$ 8.000/mês,de 6 a 10 anos,,
2021,55+,Masculino,Minas Gerais (MG),Pós-graduação,,de R$ 25.001/mês a R$ 30.000/mês,Mais de 10 anos,,
2021,50-54,Feminino,Paraná (PR),Mestrado,,de R$ 6.001/mês a R$ 8.000/mês,Mais de 10 anos,,
2021,50-54,Masculino,Paraná (PR),Pós-graduação,,de R$ 12.001/mês a R$ 16.000/mês,Mais de 10 anos,,
2021,35-39,Masculino,Rio de Janeiro (RJ),Graduação/Bacharelado,,de R$ 8.001/mês a R$ 12.000/mês,Mais de 10 anos,,
2021,30-34,Masculino,Sergipe (SE),Graduação/Bacharelado,,de R$ 4.001/mês a R$ 6.000/mês,de 6 a 10 anos,,
2021,45-49,Masculino,Goiás (GO),Mestrado,,de R$ 6.001/mês a R$ 8.000/mês,Mais de 10 anos,,
2021,35-39,Masculino,Rio de Janeiro (RJ),Pós-graduação,,de R$ 12.001/mês a R$ 16.000/mês,Mais de 10 anos,,
2021,25-29,Masculino,São Paulo (SP),Mestrado,,de R$ 30.001/mês a R$ 40.000/mês,de 4 a 5 anos,,
2021,40-44,Masculino,São Paulo (SP),Pós-graduação,,de R$ 6.001/mês a R$ 8.000/mês,Mais de 10 anos,,
2021,25-29,Masculino,São Paulo (SP),Pós-graduação,,de R$ 8.001/mês a R$ 12.000/mês,de 4 a 5 anos,,
2021,35-39,Masculino,São Paulo (SP),Pós-graduação,,de R$ 6.001/mês a R$ 8.000/mês,de 2 a 3 anos,,
2021,45-49,Masculino,São Paulo (SP),Mestrado,,de R$ 8.001/mês a R$ 12.000/mês,de 6 a 10 anos,,
2021,30-34,Masculino,São Paulo (SP),Pós-graduação,,de R$ 6.001/mês a R$ 8.000/mês,de 6 a 10 anos,,
2021,50-54,Masculino,Rio Grande do Sul (RS),Pós-graduação,,de R$ 6.001/mês a R$ 8.000/mês,Mais de 10 anos,,
2021,35-39,Masculino,Paraná (PR),Pós-graduação,,de R$ 8.001/mês a R$ 12.000/mês,de 2 a 3 anos,,
2021,25-29,Masculino,São Paulo (SP),Graduação/Bacharelado,,Menos de R$ 1.000/mês,de 2 a 3 anos,,
2021,25-29,Masculino,São Paulo (SP),Pós-graduação,,de R$ 8.001/mês a R$ 12.000/mês,de 2 a 3 anos,,
2021,30-34,Feminino,Minas Gerais (MG),Mestrado,,de R$ 25.001/mês a R$ 30.000/mês,de 6 a 10 anos,,
2021,35-39,Masculino,Paraná (PR),Graduação/Bacharelado,,de R$ 12.001/mês a R$ 16.000/mês,de 6 a 10 anos,,
2021,25-29,Masculino,Minas Gerais (MG),Pós-graduação,,de R$ 4.001/mês a R$ 6.000/mês,de 4 a 5 anos,,
2021,35-39,Feminino,São Paulo (SP),Graduação/Bacharelado,,de R$ 16.001/mês a R$ 20.000/mês,Mais de 10 anos,,
2021,35-39,Masculino,Espírito Santo (ES),Doutorado ou Phd,,Acima de R$ 40.001/mês,Mais de 10 anos,,
2021,30-34,Masculino,Rio Grande do Sul (RS),Mestrado,,de R$ 12.001/mês a R$ 16.000/mês,de 4 a 5 anos,,
2021,30-34,Masculino,São Paulo (SP),Pós-graduação,,de R$ 8.001/mês a R$ 12.000/mês,de 4 a 5 anos,,
2021,25-29,Masculino,Minas Gerais (MG),Graduação/Bacharelado,,de R$ 20.001/mês a R$ 25.000/mês,de 2 a 3 anos,,
2021,25-29,Masculino,São Paulo (SP),Pós-graduação,,de R$ 25.001/mês a R$ 30.000/mês,de 6 a 10 anos,,
2021,45-49,Masculino,São Paulo (SP),Mestrado,,de R$ 20.001/mês a R$ 25.000/mês,Mais de 10 anos,,
2021,30-34,Masculino,Minas Gerais (MG),Graduação/Bacharelado,,de R$ 6.001/mês a R$ 8.000/mês,de 6 a 10 anos,,
2021,35-39,Masculino,Minas Gerais (MG),Mestrado,,de R$ 30.001/mês a R$ 40.000/mês,Mais de 10 anos,,
2021,40-44,Masculino,Rio de Janeiro (RJ),Pós-graduação,,de R$ 16.001/mês a R$ 20.000/mês,de 1 a 2 anos,,
2021,25-29,Masculino,Santa Catarina (SC),Pós-graduação,,de R$ 8.001/mês a R$ 12.000/mês,de 6 a 10 anos,,
2021,25-29,Masculino,São Paulo (SP),Mestrado,,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,,
2021,30-34,Feminino,Rio de Janeiro (RJ),Doutorado ou Phd,,de R$ 6.001/mês a R$ 8.000/mês,de 6 a 10 anos,,
2021,25-29,Masculino,Paraná (PR),Pós-graduação,,de R$ 12.001/mês a R$ 16.000/mês,de 4 a 5 anos,,
2021,30-34,Masculino,São Paulo (SP),Pós-graduação,,de R$ 8.001/mês a R$ 12.000/mês,de 6 a 10 anos,,
2021,25-29,Masculino,Minas Gerais (MG),Doutorado ou Phd,,de R$ 12.001/mês a R$ 16.000/mês,de 6 a 10 anos,,
2021,30-34,Masculino,Santa Catarina (SC),Pós-graduação,,de R$ 8.001/mês a R$ 12.000/mês,de 4 a 5 anos,,
2021,22-24,Masculino,São Paulo (SP),Graduação/Bacharelado,,de R$ 3.001/mês a R$ 4.000/mês,de 1 a 2 anos,,
2021,25-29,Feminino,Rio Grande do Sul (RS),Graduação/Bacharelado,,de R$ 4.001/mês a R$ 6.000/mês,Não tenho experiência na área de dados,,
2021,30-34,Feminino,São Paulo (SP),Pós-graduação,,de R$ 12.001/mês a R$ 16.000/mês,de 6 a 10 anos,,
2021,35-39,Masculino,Rio Grande do Norte (RN),Pós-graduação,,de R$ 8.001/mês a R$ 12.000/mês,Mais de 10 anos,,
2021,50-54,Masculino,São Paulo (SP),Doutorado ou Phd,,de R$ 20.001/mês a R$ 25.000/mês,de 6 a 10 anos,,
2021,50-54,Masculino,Ceará (CE),Pós-graduação,,de R$ 16.001/mês a R$ 20.000/mês,Mais de 10 anos,,
2021,30-34,Masculino,São Paulo (SP),Graduação/Bacharelado,,de R$ 6.001/mês a R$ 8.000/mês,de 4 a 5 anos,,
2021,30-34,Masculino,São Paulo (SP),Graduação/Bacharelado,,de R$ 12.001/mês a R$ 16.000/mês,de 4 a 5 anos,,
2021,30-34,Masculino,Rio de Janeiro (RJ),Mestrado,,de R$ 16.001/mês a R$ 20.000/mês,de 6 a 10 anos,,
2021,35-39,Masculino,Distrito Federal (DF),Pós-graduação,,de R$ 30.001/mês a R$ 40.000/mês,Mais de 10 anos,,
2021,30-34,Masculino,São Paulo (SP),Não tenho graduação formal,,de R$ 8.001/mês a R$ 12.000/mês,de 6 a 10 anos,,
2021,30-34,Masculino,São Paulo (SP),Pós-graduação,,de R$ 2.001/mês a R$ 3000/mês,Não tenho experiência na área de dados,,
2021,45-49,Masculino,São Paulo (SP),Graduação/Bacharelado,,de R$ 16.001/mês a R$ 20.000/mês,de 6 a 10 anos,,
2021,35-39,Masculino,São Paulo (SP),Graduação/Bacharelado,,de R$ 8.001/mês a R$ 12.000/mês,de 6 a 10 anos,,
2021,25-29,Feminino,Minas Gerais (MG),Mestrado,,de R$ 20.001/mês a R$ 25.000/mês,de 4 a 5 anos,,
2021,22-24,Masculino,Paraná (PR),Pós-graduação,,de R$ 3.001/mês a R$ 4.000/mês,de 4 a 5 anos,,
2021,30-34,Masculino,Fora do Brasil,Mestrado,,Acima de R$ 40.001/mês,de 6 a 10 anos,,
2021,25-29,Masculino,São Paulo (SP),Pós-graduação,,de R$ 16.001/mês a R$ 20.000/mês,de 4 a 5 anos,,
2021,35-39,Masculino,São Paulo (SP),Graduação/Bacharelado,,de R$ 20.001/mês a R$ 25.000/mês,de 1 a 2 anos,,
2021,35-39,Masculino,Ceará (CE),Pós-graduação,,Acima de R$ 40.001/mês,de 4 a 5 anos,,
2021,25-29,Masculino,São Paulo (SP),Pós-graduação,,de R$ 12.001/mês a R$ 16.000/mês,de 2 a 3 anos,,
2021,25-29,Masculino,Fora do Brasil,Graduação/Bacharelado,,Acima de R$ 40.001/mês,de 2 a 3 anos,,
2021,30-34,Masculino,Santa Catarina (SC),Pós-graduação,,de R$ 12.001/mês a R$ 16.000/mês,de 2 a 3 anos,,
2021,40-44,Masculino,São Paulo (SP),Pós-graduação,,de R$ 12.001/mês a R$ 16.000/mês,Mais de 10 anos,,
2021,30-34,Masculino,,Pós-graduação,,de R$ 20.001/mês a R$ 25.000/mês,de 6 a 10 anos,,
2021,25-29,Masculino,Minas Gerais (MG),Mestrado,,de R$ 8.001/mês a R$ 12.000/mês,de 2 a 3 anos,,
2021,30-34,Masculino,São Paulo (SP),Pós-graduação,,de R$ 16.001/mês a R$ 20.000/mês,de 6 a 10 anos,,
2021,30-34,Masculino,Fora do Brasil,Mestrado,,de R$ 8.001/mês a R$ 12.000/mês,de 2 a 3 anos,,
2021,25-29,Masculino,Rio de Janeiro (RJ),Pós-graduação,,de R$ 8.001/mês a R$ 12.000/mês,de 4 a 5 anos,,
2021,30-34,Masculino,Alagoas (AL),Doutorado ou Phd,,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,,
2021,35-39,Masculino,Distrito Federal (DF),Pós-graduação,,de R$ 6.001/mês a R$ 8.000/mês,Mais de 10 anos,,
2021,25-29,Feminino,São Paulo (SP),Graduação/Bacharelado,,de R$ 16.001/mês a R$ 20.000/mês,Não tenho experiência na área de dados,,
2021,45-49,Feminino,Rio de Janeiro (RJ),Pós-graduação,,de R$ 8.001/mês a R$ 12.000/mês,Mais de 10 anos,,
2021,40-44,Masculino,São Paulo (SP),Graduação/Bacharelado,,de R$ 25.001/mês a R$ 30.000/mês,de 6 a 10 anos,,
2021,35-39,Masculino,Rio de Janeiro (RJ),Doutorado ou Phd,,de R$ 12.001/mês a R$ 16.000/mês,Mais de 10 anos,,
2021,40-44,Masculino,São Paulo (SP),Estudante de Graduação,,de R$ 6.001/mês a R$ 8.000/mês,Menos de 1 ano,,
2021,25-29,Masculino,Minas Gerais (MG),Mestrado,,de R$ 12.001/mês a R$ 16.000/mês,de 4 a 5 anos,,
2021,35-39,Masculino,São Paulo (SP),Pós-graduação,,de R$ 16.001/mês a R$ 20.000/mês,Mais de 10 anos,,
2021,25-29,Masculino,São Paulo (SP),Graduação/Bacharelado,,de R$ 12.001/mês a R$ 16.000/mês,Menos de 1 ano,,
2021,25-29,Masculino,São Paulo (SP),Pós-graduação,,de R$ 12.001/mês a R$ 16.000/mês,de 6 a 10 anos,,
2021,25-29,Masculino,São Paulo (SP),Graduação/Bacharelado,,de R$ 12.001/mês a R$ 16.000/mês,de 4 a 5 anos,,
2021,30-34,Masculino,São Paulo (SP),Pós-graduação,,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,,
2021,35-39,Masculino,São Paulo (SP),Mestrado,,de R$ 20.001/mês a R$ 25.000/mês,Mais de 10 anos,,
2021,25-29,Feminino,Minas Gerais (MG),Pós-graduação,,de R$ 8.001/mês a R$ 12.000/mês,de 2 a 3 anos,,
2021,35-39,Masculino,São Paulo (SP),Doutorado ou Phd,,de R$ 12.001/mês a R$ 16.000/mês,de 4 a 5 anos,,
2021,35-39,Masculino,Rio de Janeiro (RJ),Pós-graduação,,de R$ 12.001/mês a R$ 16.000/mês,de 6 a 10 anos,,
2021,30-34,Masculino,São Paulo (SP),Graduação/Bacharelado,,Acima de R$ 40.001/mês,Mais de 10 anos,,
2021,25-29,Masculino,São Paulo (SP),Graduação/Bacharelado,,de R$ 20.001/mês a R$ 25.000/mês,de 2 a 3 anos,,
2021,30-34,Masculino,São Paulo (SP),Estudante de Graduação,,de R$ 16.001/mês a R$ 20.000/mês,de 4 a 5 anos,,
2021,25-29,Masculino,São Paulo (SP),Graduação/Bacharelado,,de R$ 8.001/mês a R$ 12.000/mês,de 2 a 3 anos,,
2021,35-39,Masculino,São Paulo (SP),Mestrado,,Acima de R$ 40.001/mês,de 6 a 10 anos,,
2021,40-44,Masculino,São Paulo (SP),Graduação/Bacharelado,,de R$ 12.001/mês a R$ 16.000/mês,Mais de 10 anos,,
2021,30-34,Feminino,Rio de Janeiro (RJ),Pós-graduação,,de R$ 16.001/mês a R$ 20.000/mês,Mais de 10 anos,,
2021,30-34,Masculino,São Paulo (SP),Pós-graduação,,de R$ 16.001/mês a R$ 20.000/mês,de 6 a 10 anos,,
2021,22-24,Masculino,,Graduação/Bacharelado,,de R$ 6.001/mês a R$ 8.000/mês,de 2 a 3 anos,,
2021,30-34,Masculino,São Paulo (SP),Graduação/Bacharelado,,de R$ 2.001/mês a R$ 3000/mês,Não tenho experiência na área de dados,,
2021,30-34,Masculino,Minas Gerais (MG),Pós-graduação,,de R$ 12.001/mês a R$ 16.000/mês,Mais de 10 anos,,
2021,25-29,Masculino,Espírito Santo (ES),Pós-graduação,,de R$ 8.001/mês a R$ 12.000/mês,de 2 a 3 anos,,
2021,25-29,Feminino,Rio Grande do Sul (RS),Graduação/Bacharelado,,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,,
2021,30-34,Masculino,São Paulo (SP),Pós-graduação,,Acima de R$ 40.001/mês,de 6 a 10 anos,,
2021,40-44,Masculino,São Paulo (SP),Mestrado,,de R$ 30.001/mês a R$ 40.000/mês,Mais de 10 anos,,
2021,25-29,Masculino,Minas Gerais (MG),Graduação/Bacharelado,,de R$ 6.001/mês a R$ 8.000/mês,de 4 a 5 anos,,
2021,40-44,Masculino,Rio Grande do Sul (RS),Pós-graduação,,de R$ 16.001/mês a R$ 20.000/mês,de 4 a 5 anos,,
2021,30-34,Masculino,Fora do Brasil,Graduação/Bacharelado,,Acima de R$ 40.001/mês,de 4 a 5 anos,,
2021,45-49,Masculino,Goiás (GO),Pós-graduação,,de R$ 16.001/mês a R$ 20.000/mês,de 2 a 3 anos,,
2021,35-39,Feminino,São Paulo (SP),Pós-graduação,,de R$ 12.001/mês a R$ 16.000/mês,Mais de 10 anos,,
2021,25-29,Masculino,Minas Gerais (MG),Mestrado,,de R$ 25.001/mês a R$ 30.000/mês,de 4 a 5 anos,,
2021,35-39,Masculino,Espírito Santo (ES),Graduação/Bacharelado,,de R$ 16.001/mês a R$ 20.000/mês,de 2 a 3 anos,,
2021,35-39,Feminino,São Paulo (SP),Pós-graduação,,de R$ 12.001/mês a R$ 16.000/mês,Menos de 1 ano,,
2021,45-49,Masculino,Rio de Janeiro (RJ),Doutorado ou Phd,,de R$ 12.001/mês a R$ 16.000/mês,Mais de 10 anos,,
2021,30-34,Feminino,São Paulo (SP),Mestrado,,de R$ 16.001/mês a R$ 20.000/mês,de 4 a 5 anos,,
2021,30-34,Masculino,São Paulo (SP),Mestrado,,de R$ 16.001/mês a R$ 20.000/mês,de 6 a 10 anos,,
2021,35-39,Masculino,Paraná (PR),Mestrado,,de R$ 16.001/mês a R$ 20.000/mês,de 4 a 5 anos,,
2021,25-29,Masculino,Minas Gerais (MG),Graduação/Bacharelado,,de R$ 8.001/mês a R$ 12.000/mês,de 4 a 5 anos,,
2021,22-24,Masculino,São Paulo (SP),Graduação/Bacharelado,,de R$ 8.001/mês a R$ 12.000/mês,de 2 a 3 anos,,
2021,35-39,Masculino,Paraná (PR),Graduação/Bacharelado,,de R$ 8.001/mês a R$ 12.000/mês,de 6 a 10 anos,,
2021,30-34,Feminino,São Paulo (SP),Doutorado ou Phd,,de R$ 12.001/mês a R$ 16.000/mês,de 6 a 10 anos,,
2021,30-34,Masculino,Minas Gerais (MG),Mestrado,,de R$ 16.001/mês a R$ 20.000/mês,de 2 a 3 anos,,
2021,25-29,Masculino,São Paulo (SP),Pós-graduação,,de R$ 12.001/mês a R$ 16.000/mês,de 4 a 5 anos,,
2021,40-44,Masculino,São Paulo (SP),Pós-graduação,,de R$ 12.001/mês a R$ 16.000/mês,de 6 a 10 anos,,
2021,40-44,Masculino,Minas Gerais (MG),Pós-graduação,,de R$ 8.001/mês a R$ 12.000/mês,Mais de 10 anos,,
2021,25-29,Masculino,Minas Gerais (MG),Graduação/Bacharelado,,de R$ 8.001/mês a R$ 12.000/mês,de 2 a 3 anos,,
2021,25-29,Masculino,São Paulo (SP),Mestrado,,de R$ 16.001/mês a R$ 20.000/mês,de 4 a 5 anos,,
2021,35-39,Masculino,São Paulo (SP),Pós-graduação,,Acima de R$ 40.001/mês,de 6 a 10 anos,,
2021,40-44,Masculino,Distrito Federal (DF),Doutorado ou Phd,,de R$ 16.001/mês a R$ 20.000/mês,Mais de 10 anos,,
2021,25-29,Masculino,Rio de Janeiro (RJ),Mestrado,,de R$ 8.001/mês a R$ 12.000/mês,de 4 a 5 anos,,
2021,25-29,Masculino,Minas Gerais (MG),Graduação/Bacharelado,,de R$ 8.001/mês a R$ 12.000/mês,de 6 a 10 anos,,
2021,25-29,Masculino,São Paulo (SP),Graduação/Bacharelado,,de R$ 30.001/mês a R$ 40.000/mês,de 6 a 10 anos,,
2021,30-34,Feminino,Minas Gerais (MG),Graduação/Bacharelado,,de R$ 20.001/mês a R$ 25.000/mês,de 4 a 5 anos,,
2021,30-34,Masculino,São Paulo (SP),Graduação/Bacharelado,,de R$ 8.001/mês a R$ 12.000/mês,de 2 a 3 anos,,
2021,30-34,Feminino,São Paulo (SP),Doutorado ou Phd,,de R$ 8.001/mês a R$ 12.000/mês,de 6 a 10 anos,,
2021,25-29,Masculino,São Paulo (SP),Mestrado,,de R$ 16.001/mês a R$ 20.000/mês,de 6 a 10 anos,,
2021,22-24,Feminino,Santa Catarina (SC),Graduação/Bacharelado,,de R$ 4.001/mês a R$ 6.000/mês,de 2 a 3 anos,,
2021,25-29,Masculino,Paraná (PR),Mestrado,,de R$ 16.001/mês a R$ 20.000/mês,de 6 a 10 anos,,
2021,35-39,Masculino,Goiás (GO),Mestrado,,de R$ 16.001/mês a R$ 20.000/mês,de 4 a 5 anos,,
2021,35-39,Feminino,São Paulo (SP),Pós-graduação,,de R$ 4.001/mês a R$ 6.000/mês,Não tenho experiência na área de dados,,
2021,35-39,Masculino,São Paulo (SP),Pós-graduação,,de R$ 25.001/mês a R$ 30.000/mês,Não tenho experiência na área de dados,,
2021,45-49,Masculino,Fora do Brasil,Pós-graduação,,de R$ 4.001/mês a R$ 6.000/mês,Mais de 10 anos,,
2021,40-44,Masculino,São Paulo (SP),Pós-graduação,,de R$ 12.001/mês a R$ 16.000/mês,Mais de 10 anos,,
2021,40-44,Masculino,São Paulo (SP),Graduação/Bacharelado,,Acima de R$ 40.001/mês,Mais de 10 anos,,
2021,25-29,Feminino,Rio Grande do Sul (RS),Pós-graduação,,de R$ 12.001/mês a R$ 16.000/mês,de 6 a 10 anos,,
2021,40-44,Masculino,São Paulo (SP),Mestrado,,de R$ 16.001/mês a R$ 20.000/mês,Mais de 10 anos,,
2021,25-29,Masculino,São Paulo (SP),Mestrado,,de R$ 16.001/mês a R$ 20.000/mês,de 6 a 10 anos,,
2021,50-54,Feminino,Rio de Janeiro (RJ),Mestrado,,de R$ 8.001/mês a R$ 12.000/mês,de 4 a 5 anos,,
2021,25-29,Feminino,Minas Gerais (MG),Mestrado,,de R$ 8.001/mês a R$ 12.000/mês,de 2 a 3 anos,,
2021,30-34,Masculino,São Paulo (SP),Graduação/Bacharelado,,de R$ 16.001/mês a R$ 20.000/mês,de 6 a 10 anos,,
2021,30-34,Masculino,São Paulo (SP),Pós-graduação,,de R$ 25.001/mês a R$ 30.000/mês,de 6 a 10 anos,,
2021,50-54,Masculino,São Paulo (SP),Pós-graduação,,Menos de R$ 1.000/mês,de 4 a 5 anos,,
2021,30-34,Masculino,Rio de Janeiro (RJ),Graduação/Bacharelado,,de R$ 16.001/mês a R$ 20.000/mês,de 4 a 5 anos,,
2021,22-24,Masculino,Paraíba (PB),Graduação/Bacharelado,,de R$ 8.001/mês a R$ 12.000/mês,de 2 a 3 anos,,
2021,35-39,Masculino,Distrito Federal (DF),Mestrado,,de R$ 12.001/mês a R$ 16.000/mês,de 1 a 2 anos,,
2021,50-54,Masculino,Pernambuco (PE),Pós-graduação,,de R$ 6.001/mês a R$ 8.000/mês,Menos de 1 ano,,
2021,55+,Masculino,Paraíba (PB),Pós-graduação,,de R$ 8.001/mês a R$ 12.000/mês,de 6 a 10 anos,,
2021,22-24,Masculino,Minas Gerais (MG),Mestrado,,de R$ 6.001/mês a R$ 8.000/mês,Não tenho experiência na área de dados,,
2021,40-44,Masculino,,Graduação/Bacharelado,,de R$ 6.001/mês a R$ 8.000/mês,Menos de 1 ano,,
2021,35-39,Masculino,Ceará (CE),Graduação/Bacharelado,,de R$ 8.001/mês a R$ 12.000/mês,Não tenho experiência na área de dados,,
2021,55+,Masculino,Minas Gerais (MG),Graduação/Bacharelado,,de R$ 4.001/mês a R$ 6.000/mês,Mais de 10 anos,,
2021,25-29,Masculino,Paraná (PR),Pós-graduação,,de R$ 8.001/mês a R$ 12.000/mês,de 6 a 10 anos,,
2021,50-54,Masculino,Paraíba (PB),Estudante de Graduação,,de R$ 4.001/mês a R$ 6.000/mês,Menos de 1 ano,,
2021,35-39,Masculino,Minas Gerais (MG),Pós-graduação,,de R$ 6.001/mês a R$ 8.000/mês,Menos de 1 ano,,
2021,25-29,Masculino,São Paulo (SP),Graduação/Bacharelado,,de R$ 12.001/mês a R$ 16.000/mês,de 4 a 5 anos,,
2021,35-39,Masculino,São Paulo (SP),Pós-graduação,,de R$ 12.001/mês a R$ 16.000/mês,de 2 a 3 anos,,
2021,30-34,Masculino,Fora do Brasil,Pós-graduação,,de R$ 16.001/mês a R$ 20.000/mês,Mais de 10 anos,,
2021,30-34,Masculino,São Paulo (SP),Pós-graduação,,de R$ 16.001/mês a R$ 20.000/mês,Mais de 10 anos,,
2021,45-49,Masculino,Rio de Janeiro (RJ),Pós-graduação,,de R$ 30.001/mês a R$ 40.000/mês,Mais de 10 anos,,
2021,25-29,Masculino,São Paulo (SP),Pós-graduação,,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,,
2021,25-29,Masculino,São Paulo (SP),Pós-graduação,,de R$ 8.001/mês a R$ 12.000/mês,de 2 a 3 anos,,
2021,40-44,Masculino,Minas Gerais (MG),Mestrado,,de R$ 25.001/mês a R$ 30.000/mês,Mais de 10 anos,,
2021,40-44,Masculino,Minas Gerais (MG),Pós-graduação,,de R$ 12.001/mês a R$ 16.000/mês,Mais de 10 anos,,
2021,30-34,Masculino,São Paulo (SP),Pós-graduação,,de R$ 8.001/mês a R$ 12.000/mês,de 6 a 10 anos,,
2021,25-29,Masculino,Maranhão (MA),Pós-graduação,,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,,
2021,40-44,Masculino,Minas Gerais (MG),Pós-graduação,,de R$ 6.001/mês a R$ 8.000/mês,de 2 a 3 anos,,
2021,45-49,Masculino,Rio Grande do Sul (RS),Pós-graduação,,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,,
2021,30-34,Feminino,São Paulo (SP),Pós-graduação,,de R$ 12.001/mês a R$ 16.000/mês,de 6 a 10 anos,,
2021,25-29,Masculino,São Paulo (SP),Graduação/Bacharelado,,de R$ 12.001/mês a R$ 16.000/mês,de 4 a 5 anos,,
2021,50-54,Masculino,Bahia (BA),Pós-graduação,,de R$ 16.001/mês a R$ 20.000/mês,Mais de 10 anos,,
2021,30-34,Masculino,São Paulo (SP),Pós-graduação,,de R$ 8.001/mês a R$ 12.000/mês,Mais de 10 anos,,
2021,55+,Masculino,Minas Gerais (MG),Não tenho graduação formal,,de R$ 4.001/mês a R$ 6.000/mês,Mais de 10 anos,,
2021,25-29,Masculino,Santa Catarina (SC),Pós-graduação,,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,,
2021,50-54,Masculino,Bahia (BA),Estudante de Graduação,,de R$ 12.001/mês a R$ 16.000/mês,Mais de 10 anos,,
2021,35-39,Feminino,Rio de Janeiro (RJ),Pós-graduação,,de R$ 8.001/mês a R$ 12.000/mês,Mais de 10 anos,,
2021,40-44,Masculino,São Paulo (SP),Graduação/Bacharelado,,de R$ 16.001/mês a R$ 20.000/mês,Mais de 10 anos,,
2021,35-39,Masculino,São Paulo (SP),Graduação/Bacharelado,,de R$ 12.001/mês a R$ 16.000/mês,de 1 a 2 anos,,
2021,50-54,Feminino,São Paulo (SP),Pós-graduação,,de R$ 16.001/mês a R$ 20.000/mês,de 2 a 3 anos,,
2021,35-39,Masculino,São Paulo (SP),Mestrado,,de R$ 12.001/mês a R$ 16.000/mês,de 2 a 3 anos,,
2021,40-44,Masculino,Sergipe (SE),Mestrado,,de R$ 12.001/mês a R$ 16.000/mês,Mais de 10 anos,,
